WKT,OBJECTID,Site Name,Address,City,Province,Zipcode,Latitude,Longitude,Site Type,SSID,APCOUNT,SERVICEPROVIDER,Activation Date,Phase,Coverage,AP Status,Comment,Service Provider,COV Source Key
"POINT (-123.1139712 49.26081981)",1.0,Vancouver City Hall,453 W 12th Ave,Vancouver,BC,V5Y 1V4,49.26081981,-123.1139712,CoV Premises,CoV_Public,60.0,City of Vancouver,2013-01-01 0:00:00,1.0,I,Active,,,
"POINT (-123.1155885 49.26252185)",2.0,City of Vancouver West Annex,515 W 10th Ave,Vancouver,BC,V5Z 4A8,49.26252185,-123.1155885,CoV Premises,CoV_Public,16.0,City of Vancouver,2015-01-01 0:00:00,1.0,I,Active,,,
"POINT (-123.1179866 49.27979571)",3.0,City of Vancouver Technology Services,814 Richards,Vancouver,BC,V6B 2B7,49.27979571,-123.1179866,CoV Premises,CoV_Public,16.0,City of Vancouver,2014-01-01 0:00:00,1.0,I,Active,,,
"POINT (-123.1454618 49.29078644)",4.0,Vancouver Board of Parks and Recreation,2099 Beach Ave,Vancouver,BC, V6G 1Z4,49.29078644,-123.1454618,CoV Premises,CoV_Public,8.0,City of Vancouver,2014-01-01 0:00:00,1.0,I,Active,,,
"POINT (-123.1154402 49.26353407)",5.0,City of Vancouver Engineering Services,507 W Broadway,Vancouver,BC,V5Z 0B4,49.26353407,-123.1154402,CoV Premises,CoV_Public,24.0,City of Vancouver,2015-10-01 0:00:00,1.0,I,Active,,,
"POINT (-123.0894183 49.27605949)",6.0,Vancouver Fire and Rescue Services Fire Hall # 1,900 Heatley Ave,Vancouver,BC,V6A 3S7,49.27605949,-123.0894183,CoV Premises,CoV_Public,3.0,City of Vancouver,2014-01-01 0:00:00,1.0,I,Active,,,
"POINT (-123.0899938 49.27336762)",7.0,City of Vancouver National Works Yard,701 National Ave,Vancouver,BC,V6A 4L3,49.27336762,-123.0899938,CoV Premises,CoV_Public,23.0,City of Vancouver,2015-12-31 0:00:00,1.0,I,Active,,,
"POINT (-123.0328666 49.28053109)",8.0,City of Vancouver Emergency Operations Centre,3301 E Pender St,Vancouver,BC,V5K 5J3,49.28053109,-123.0328666,CoV Premises,CoV_Public,10.0,City of Vancouver,2015-12-31 0:00:00,1.0,I,Active,,,
"POINT (-123.085086 49.27255532)",9.0,Vancouver Fire and Rescue Services Training Centre,1330 Chess St,Vancouver,BC,V6A 4K6,49.27255532,-123.085086,CoV Premises,CoV_Public,7.0,City of Vancouver,2015-12-31 0:00:00,1.0,I,Active,,,
"POINT (-123.1135782 49.26292521)",10.0,Election Office,450 W Broadway,Vancouver,BC,V5Y 1R4,49.26292521,-123.1135782,CoV Premises,CoV_Public,2.0,City of Vancouver,2015-12-31 0:00:00,1.0,I,Active,,,
"POINT (-123.1115438 49.20845936)",11.0,City of Vancouver Manitoba Works Yard,250 W 70th Ave,Vancouver,BC,V5X 2X1,49.20845936,-123.1115438,CoV Premises,CoV_Public,37.0,City of Vancouver,2015-12-31 0:00:00,1.0,I,Active,,,
"POINT (-123.1076607 49.28258259)",12.0,City of Vancouver Community Services,333 Abbott St,Vancouver,BC,V6B 0G6,49.28258259,-123.1076607,CoV Premises,CoV_Public,10.0,City of Vancouver,2016-06-01 0:00:00,1.0,I,Active,,,
"POINT (-123.0823599 49.27356742)",13.0,City of Vancouver Animal Shelter,1280 Raymur Ave,Vancouver,BC,V6A 3L8,49.27356742,-123.0823599,CoV Premises,CoV_Public,8.0,City of Vancouver,2016-09-30 0:00:00,1.0,I,Active,,,
"POINT (-123.1148414 49.27087558)",14.0,City of Vancouver 311 Contact Centre,1800 Spyglass Pl,,Vancouver,BC,V5Z 4K7,49.27087558,-123.1148414,CoV Premises,CoV_Public,14.0,City of Vancouver,2017-11-01 0:00:00,1.0,I,Active,,,
"POINT (-123.0841176 49.2716249)",15.0,City of Vancouver Evans Yard,955 Evans Ave,Vancouver,BC,V6A 4C8,49.2716249,-123.0841176,CoV Premises,CoV_Public,38.0,City of Vancouver,,1.0,I,Active,,,
"POINT (-123.1165629 49.20990401)",16.0,City of Vancouver Marine Gateway,446 SW Marine Dr,Vancouver,BC,V5X 0C7,49.20990401,-123.1165629,CoV Premises,CoV_Public,14.0,City of Vancouver,,1.0,I,Active,,,
"POINT (-123.1169562 49.26444568)",17.0,Echelon,575 W 8th Ave,Vancouver,BC,V5Z 1C6,49.26444568,-123.1169562,CoV Premises,CoV_Public,12.0,City of Vancouver,,1.0,I,Active,,,
"POINT (-123.1140753 49.26293213)",18.0,Vancouver Fire and Rescue Services Fire Prevention,456 W Broadway,Vancouver,BC,V5Y 1R3,49.26293213,-123.1140753,CoV Premises,CoV_Public,7.0,City of Vancouver,,1.0,I,Active,,,
